iter	Passed	Remaining
734	18383	6627
735	18407	6602
736	18464	6589
737	18523	6576
738	18583	6563
739	18613	6539
740	18669	6525
741	18693	6500
742	18741	6482
743	18798	6468
744	18862	6456
745	18922	6442
746	18977	6427
747	19027	6410
748	19085	6395
749	19145	6381
750	19205	6367
751	19266	6353
752	19318	6336
753	19374	6321
754	19403	6296
755	19457	6280
756	19519	6265
757	19582	6251
758	19606	6225
759	19632	6199
760	19687	6182
761	19743	6166
762	19813	6154
763	19877	6140
764	19937	6124
765	20000	6109
766	20064	6095
767	20122	6078
768	20145	6051
769	20202	6034
770	20265	6019
771	20346	6009
772	20418	5996
773	20478	5979
774	20542	5964
775	20592	5944
776	20637	5922
777	20656	5894
778	20673	5864
779	20718	5843
780	20764	5822
781	20809	5801
782	20856	5780
783	20905	5759
784	20954	5739
785	20999	5717
786	21050	5697
787	21100	5676
788	21153	5657
789	21207	5637
790	21261	5617
791	21312	5597
792	21356	5574
793	21400	5552
794	21449	5531
795	21501	5510
796	21548	5488
797	21604	5468
798	21659	5448
799	21713	5428
800	21763	5407
801	21816	5386
802	21863	5363
803	21914	5342
804	21963	5320
805	21986	5292
806	22010	5263
807	22060	5242
808	22114	5221
809	22162	5198
810	22216	5177
811	22273	5156
812	22333	5136
813	22382	5114
814	22439	5093
815	22486	5070
816	22547	5050
817	22597	5027
818	22657	5007
819	22702	4983
820	22757	4961
821	22809	4939
822	22865	4917
823	22911	4893
824	22961	4870
825	23010	4847
826	23061	4824
827	23106	4799
828	23153	4775
829	23198	4751
830	23249	4728
831	23310	4707
832	23376	4686
833	23461	4669
834	23520	4647
835	23607	4631
836	23662	4608
837	23738	4589
838	23802	4567
839	23875	4547
840	23938	4525
841	24003	4504
842	24051	4479
843	24117	4457
844	24175	4434
845	24243	4413
846	24321	4393
847	24390	4371
848	24472	4352
849	24534	4329
850	24580	4303
851	24623	4277
852	24671	4251
853	24721	4226
854	24797	4205
855	24849	4180
856	24908	4156
857	24975	4133
858	25026	4107
859	25102	4086
860	25169	4063
861	25220	4037
862	25267	4011
863	25318	3985
864	25384	3961
865	25439	3936
866	25501	3911
867	25565	3887
868	25623	3862
869	25674	3836
870	25721	3809
871	25785	3785
872	25833	3758
873	25880	3731
874	25934	3704
875	25996	3679
876	26050	3653
877	26092	3625
878	26140	3598
879	26186	3570
880	26239	3544
881	26301	3518
882	26354	3492
883	26413	3466
884	26468	3439
885	26523	3412
886	26572	3385
887	26621	3357
888	26671	3330
889	26729	3303
890	26785	3276
891	26837	3249
892	26898	3223
893	26951	3195
894	27019	3169
895	27070	3142
896	27127	3114
897	27182	3087
898	27235	3059
899	27301	3033
